ID,Tweet,Match,Polarity
1,aihaknass pls readampjudge my case my name is aihaknass kwankwasorm sponsored my education into nwu university kano the uni was es,,NEUTRAL
2,epmattgaetz  in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,struggling,NEGATIVE
3,nova scotia reports  new cases of covid including  at halifax seniors residence   cbc news ,,NEUTRAL
4,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
5,epmattgaetz  in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,struggling,NEGATIVE
6,university of california adjusting tuition for the university california to match the quality of online education  sign the petition  via change,,NEUTRAL
7,i attended a top  university the same boarding school as jfk and go the same education as the kids of some celebrities none of that matters bc those systems destroyed me physically and mentally now ill have a worthless degree and no job and thats not bc of coronavirus,top worthless,NEUTRAL
8,dineshkumawat rajasthan  rajgovofficial higher education minister bsbhatiinc ordered    due to cornaviruspandemic summer vacation,,NEUTRAL
9,were hiring in providence ri click the link in our bio to apply to this job and more graduate intern precollege campus life at brown university education,providence,POSITIVE
10,aialimanj when there is no education in universities and all institutes university owners should give some relaxation to students i,,NEUTRAL
11,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
12,johnlogos bobrae cafreeland education clearly makes a difference our governments need to invest more money in education and university research grants etc,clearly,POSITIVE
13,qammara studentsrejectunduefee higher education in pakistan shame on u university mafia and  hecpkofficial   shafqatmahmoo,shame,NEGATIVE
14,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
15,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
16,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
17,ecosensenow nicely highlights patricks soft thinking and complete absence of an education in hard science he makes some vague sciencey sounding statements that are easily proven wrong by putting numbers to them he will never return to university doesnt have the understanding required,nicely soft absence hard vague proven wrong,NEGATIVE
18,epmattgaetz  in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,struggling,NEGATIVE
19,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
20,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
21,qammara studentsrejectunduefee higher education in pakistan shame on u university mafia and  hecpkofficial   shafqatmahmoo,shame,NEGATIVE
22,qammara studentsrejectunduefee higher education in pakistan shame on u university mafia and  hecpkofficial   shafqatmahmoo,shame,NEGATIVE
23,free education university  how to find scholarships and grants specifically tailored to your personality type hobbies college majors and much more  link in bio ,free,POSITIVE
24,were hiring click to apply parttime lecturers in historical studies   education richardson tx,,NEUTRAL
25,enewparty the study from the university of cambridges centre for the future of democracy says satisfaction with democracy has been p,,NEUTRAL
26,qammara studentsrejectunduefee higher education in pakistan shame on u university mafia and  hecpkofficial   shafqatmahmoo,shame,NEGATIVE
27,aialimanj when there is no education in universities and all institutes university owners should give some relaxation to students i,,NEUTRAL
28,flake mama always said one thing no one can take away from you is your education i said period so i present you me with a bs i,flake bs,NEGATIVE
29,aialimanj when there is no education in universities and all institutes university owners should give some relaxation to students i,,NEUTRAL
30,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
31,apkamansoor when there is no education in universities and all institutes university owners should give some relaxation to students i,,NEUTRAL
32,flake mama always said one thing no one can take away from you is your education i said period so i present you me with a bs i,flake bs,NEGATIVE
33,apkamansoor when there is no education in universities and all institutes university owners should give some relaxation to students i,,NEUTRAL
34,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
35,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
36,epmattgaetz  in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,struggling,NEGATIVE
37,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
38,flake mama always said one thing no one can take away from you is your education i said period so i present you me with a bs i,flake bs,NEGATIVE
39,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
40,flake mama always said one thing no one can take away from you is your education i said period so i present you me with a bs i,flake bs,NEGATIVE
41,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
42,epmattgaetz  in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,struggling,NEGATIVE
43,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
44,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
45,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
46,aihaknass pls readampjudge my case my name is aihaknass kwankwasorm sponsored my education into nwu university kano the uni was es,,NEUTRAL
47,nova scotia reports  new cases of covid including  at halifax seniors residence northwood total at    cbc news ,,NEUTRAL
48,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
49,qammara studentsrejectunduefee higher education in pakistan shame on u university mafia and  hecpkofficial   shafqatmahmoo,shame,NEGATIVE
50,calphonso we may have struggled to serve some students in school that struggle will be greater remotely educators worry gap may wi,struggled struggle worry,NEGATIVE
51,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
52,democra acgrayling well but that was not my point  whats relevant is that  of people with university degrees voted for remain whilst  of people without any university education voted leave,well,POSITIVE
53,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
54,packslight completely free online classes from uc berkeley yale harvard boston university and georgia tech why is higher educ,free,POSITIVE
55,epmattgaetz  in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,struggling,NEGATIVE
56,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
57,aialimanj when there is no education in universities and all institutes university owners should give some relaxation to students i,,NEUTRAL
58,apkamansoor when there is no education in universities and all institutes university owners should give some relaxation to students i,,NEUTRAL
59,epmattgaetz  in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,struggling,NEGATIVE
60,apkamansoor when there is no education in universities and all institutes university owners should give some relaxation to students i,,NEUTRAL
61,when there is no education in universities and all institutes university owners should give some relaxation to students in fee studentsrejectunduefee,,NEUTRAL
62,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
63,qammara studentsrejectunduefee higher education in pakistan shame on u university mafia and  hecpkofficial   shafqatmahmoo,shame,NEGATIVE
64,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
65,flake mama always said one thing no one can take away from you is your education i said period so i present you me with a bs i,flake bs,NEGATIVE
66,epmattgaetz  in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,struggling,NEGATIVE
67,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
68,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
69,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
70,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
71,hansbadvi when there is no education in universities and all institutes university owners should give some relaxation to students in f,,NEUTRAL
